## Month: Февраль-2025
27,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
28,'Суббота','Канун воскресного дня.Глас 8-ый.**Акафиста. Похвала Пресвятой Богородицы.**','17:30','Всенощное бдение'
29,'Воскресенье','**Неделя 5-я Великого поста. Прп. Марии Египетской .**Глас 1-ый.Беседа в трапезной [RU].','10:30 12:15','Литургия Василия Великого / Беседа'
30,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:00-15:00','Уборка'
## Month: Апрель-2025
1,'Среда','Храм Александра Невского открыт для молитвы.**Литургия Преждеосвященных Даров**','11:00-15:00 18:30','Храм открыт / Литургия'
3,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
4,'Суббота','**Воскрешение Праведного Лазаря. Лазарева Суббота.**','10:30','Литургия'
5,'Воскресенье','**Вход Господень в Иерусалим. Вербное воскресенье.**','10:30','Литургия'
6,'Великий Понедельник','**Страстная седмица. Генеральная пред-Пасхальная уборка в храме.**Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)','10:00-15:00','Уборка храма'
7,'Великий Вторник','**Страстная седмица. БЛАГОВЕЩЕНИЕ ПРЕСВЯТОЙ БОГОРОДИЦЫ**.','10:30','Литургия'
8,'Великая Среда','**Страстная седмица.**Храм Александра Невского открыт для молитвы.**Соборование.**','11:00-15:00 18:30','Храм открыт / Соборование'
9,'Великий Четверток','**Страстная седмица. Воспоминание Тайной Вечери. Утреня с чтением 12-ти Евангелий.**','9:30 / 18:30','Литургия / Утреня'
10,'Великий Пяток','**Страстная седмица.**Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
11,'Великая Суббота','**Литургия св. Василия Великого с чтением 15-ти паремий. После Литургии приблизительно с 12:30 и до 15:00 – освящение яиц, куличей, пасх и мясных продуктов!**','9:30 / 12:30-15:00','Литургия / Освящение куличей и снеди'
# TitleBold: Вечером,11 апреля, храм откроется в 22.00 !!!
# TitleBold: Начало чтения книги Деяний святых апостолов
# TitleBold: Полунощница
# TitleBold: Крестный ход
# TitleBold: Пасхальная утреня
# TitleBold: Пасхальная Литургия
12,'Воскресенье','**Пасха Христова! ХРИСТОС ВОСКРЕСЕ! ВОИСТИНУ ВОСКРЕСЕ ХРИСТОС!**','',''
13,'Понедельник','**Христос Воскресе!**Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:00-15:00',''
15,'Среда','**Христос Воскресе!**Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
17,'Пятница','**Христос Воскресе!**Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
18,'Суббота','**Христос Воскресе!**Канун воскресного дня.','17:30','Всенощное Бдение'
19,'Воскресенье','**Неделя 2-ая по Пасхе. Апостола Фомы. Антипасха (**Вместо Пасхи**). Детский Пасхальный праздник**','10:30 12:30','Литургия / Детский Пасхальный праздник'
20,'Понедельник','Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:00-15:00',''
21,'Вторник','**Радоница**','14:00','Первая панихида после Пасхи Христовой'
22,'Среда','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
24,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
25,'Суббота','Канун воскресного дня.','17:30','Всенощное Бдение'
26,'Воскресенье','3-я неделя по Пасхе. Глас 2-й.**Святых жен-мироносиц. Тамары, царицы Грузинской.**','10:30','Литургия'
27,'Понедельник','Уборка в храме. Приходите все желающие.После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:00-15:00','Уборка в храме'
29,'Среда','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
## Month: Май-2025
1,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
2,'Суббота','Канун воскресного дня.','17:30','Всенощное Бдение'
3,'Воскресенье','**Неделя 4-я по Пасхе, о расслабленном. Прав. Тавифы.**Глас 3-ый','10:30','Литургия'
4,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза.','10:00-15:00','Уборка храма'
6,'Среда','Вмч.**Георгия Победонросца. Иверской иконы Божьей Матери.**Храм открыт для молитвы.','11:00-15:00','Храм открыт'
8,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
9,'Суббота','Канун воскресного дня.','нет служб','нет служб'
10,'Воскресенье','**Неделя 5-ая по Пасхе. О самаряныне.**Глас 4-ий','10:30','Литургия'
11,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий).','10:00-15:00','Уборка храма'
13,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
15,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
16,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
17,'Воскресенье','**Неделя 5-ая по Пасхе. О слепом.Мч. Пелагии, девы Тарсийской.**Глас 5-ый.','10:30','Литургия'
18,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий).','10:00-15:00','Уборка храма'
20,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
21,'Четверг','**Вознесение Господне. Апостола и евангелиста Иоанна Богослова, прп. Арсения Великого.**','10:30','Литургия'
22,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
23,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
24,'Воскресенье','**Равноапп. Кирилла и Мефодия, учителей Словенских.**Глас 5-ый.','10:30','Литургия'
25,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:30-15:00','Уборка храма'
27,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
29,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
30,'Суббота','**Троицкая родительская суббота. Канун воскресного дня.**','14:00 17:30','Панихида / Всенощное бдение'
31,'Воскресенье','**День Святой Троицы. Пятидесятница**','10:30','Литургия'
