## Month: Март-2026
'','','[b,red:Пасхальная утреня]','[b,red:00:00]',''
'','','[b,red:Пасхальная Литургия]','[b,red:по окончании утрени]',''
'[b,red:12]','[b,red:Воскресенье][br][b,red:Христово]','[b,i,red:Пасха Христова! ][br][b,i,red,x2:ХРИСТОС ВОСКРЕСЕ! ВОИСТИНУ ВОСКРЕСE ХРИСТОС!]','',''
'','-:-','[b:Примерно в 01:30, после Пасхальной Литургии будет совершено освящение яиц, куличей, пасх и мясных продуктов. ][br][b:Утром, 12 апреля, в 12:00, 13:00, 14:00 и 15:00 будет совершено освящение яиц, куличей, пасх и мясных продуктов. В 16.00 храм закроется!]','','-:-'
'[red:13]','[red:Понедельник ]','[b,i,red:Христос Воскресе!][br][i,red:Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','[red:10:00-15:00]','[red:Уборка храма]'
'[red:15]','[red:Среда]','[b,i,red:Христос Воскресе!][br][i,red:Храм Александра Невского открыт для молитвы.]','[red:11:00-15:00]','[red:Храм открыт]'
'[b,red:17]','[b,red:Пятница ]','[b,i,red:Христос Воскресе!][br][b,i,red:Храм Александра Невского открыт для молитвы.]','[b,red:11:00-15:00]','[b,red:Храм открыт]'
'[b,red:18]','[b,red:Суббота ]','[b,i,red:Христос Воскресе!][br][b,red:Канун воскресного дня.]','[b,red:17:30]','[b,red:Всенощное Бдение ]'
'[b,red:19]','[b,red:Воскресенье ]','[b,red:Неделя 2-я по Пасхе. Апостола Фомы. Антипасха.][br][b,i,red:Детский Пасхальный праздник]','[b,red:10:30][br][b,red:12:30]','[b,red:Литургия][br][b,red:Детский Пасхальный праздник]'
20,'Понедельник','[i:Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','10:00-15:00',''
'[b:21]','[b:Вторник]','[b:Радоница]','[b:14:00]','[b:Первая панихида после Пасхи Христовой]'
22,'Среда','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
24,'Пятница','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
25,'Суббота','Канун воскресного дня.','17:30','Всенощное Бдение'
26,'Воскресенье','3-я неделя по Пасхе. Глас 2-й.[br][b,i:Святых жен-мироносиц. Тамары, царицы Грузинской.][br][b:Приезд сестер Свято-Елисаветинского монастыря.]','10:30[br]12:30','Литургия[br]Выставка-ярмарка'
27,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','10:00-15:00','Уборка в храме'
29,'Среда','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
## Month: Май-2026
1,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
2,'Суббота','Канун воскресного дня.','17:30','Всенощное Бдение'
3,'Воскресенье','[b,green:Неделя 4-я по Пасхе, о расслабленном.][b:Прав. Тавифы. ][i:Глас 3-ый]','10:30','Литургия'
4,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза.]','10:00-15:00','[i:Уборка храма]'
6,'Среда','Вмч. [b,green:Георгия Победоносца. Иверской иконы Божьей Матери.]Храм открыт для молитвы.','11:00-15:00','Храм открыт'
8,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
9,'Суббота','Канун воскресного дня.','нет служб','нет служб'
