## Month: Maart-2026
'[b,red:12]','[b,red:Zondag]','[b,red:CHRISTUS IS OPGESTAAN! HIJ IS WAARLIJK OPGESTAAN!][br][i:Op de ochtend van 20 april vindt om][br][i:12.00, 13.00, 14.00 en 15.00 uur de wijding plaats][br][i:van eieren, paaskoeken, “Pascha's” (koelitch) en vleesproducten.][br][i:De kerk sluit om 16.00 uur!]','[i:12.00][br][i:13.00][br][i:14.00][br][i:15.00]','[i:Wijding van de Paaseieren vleeswaren en “Pachas's” (koelitch)]'
'','','[b,red:De Witte week (geen vasten) Christus is opgestaan!]','',''
'[b,red:13]','[b,red:Maandag]','[b,red:CHRISTUS IS OPGESTAAN!][br][i:Iedereen is welkom met helpen. Gezamenlijke lunch en het spreekuur met de priester (v.Anatoli).]','10:00-15:00','[b,red:Grote schoonmaak]'
'[b,red:16]','[b,red:Woensdag]','[b,red:CHRISTUS IS OPGESTAAN!][br][i:De kerk van Alexander Nevski is geopend voor gebed.]','10:00-15:00','Open'
'[b,red:18]','[b,red:Vrijdag]','[b,red:CHRISTUS IS OPGESTAAN!][br][i:De kerk van Alexander Nevski is geopend voor gebed.]','10:00-15:00','Open'
'[b,red:19]','[b,red:Zaterdag]','[b,red:Vooravond van zondag.]','17:30','Vigilie'
'[b,red:19]','[b,red:Zondag]','[b,red:2e zondag na Pasen. Apostel Thomas. Het Paasgelijk feest][br][b,i,red:Pasen kinderfeest!]','[b,red:10:30][br][b,red:12:30]','[b,red:Liturgie][br][b,red:Kinderfeest]'
20,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Gezamenlijke lunch en het spreekuur met de priester (v.Anatoli).]','10:00-15:00',''
21,'Dinsdag','[b:2e dinsdag na Pasen. Radonitsa.]Pasen herdenken van alle overledene vaders, broeders en zusters.','14:00','Panichida'
22,'Woensdag','[i:De kerk van Alexander Nevski is geopend voor gebed.]','11:00-15:00','Open'
24,'Vrijdag','[i:De kerk van Alexander Nevski is geopend voor gebed.]','11:00-15:00','Open'
25,'Zaterdag','Vooravond van zondag.','17:30','Vigilie'
26,'Zondag','[b:3e zondag na Pasen.][br][b:Komst van de zusters van het Sint Elisabeth klooster]','10:30[br]12:30','Liturgie[br]Jaarmarkt'
27,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. De gezamenlijke lunch en het spreekuur m.d.priester (v.Anatoli).]','10:00-15:00','Schoonmaak'
29,'Woensdag','[i:De kerk van Alexander Nevski is geopend voor gebed.]','11:00-15:00','Open'
## Month: Mei-2026
1,'Vrijdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
2,'Zaterdag','Vooravond van zondag.','17.30','Vigilie'
3,'Zondag','[b:4e zondag na Pasen. De genezing v.d. lamme.][i:3e toon.]','10:30[br]13:00[br]Doop','Liturgie[br]Panichida[br]Doop'
4,'Maandag','[i:Schoonmaakbeurt v.d. kerk. Iedereen is welkom. Gezamenlijke maaltijd.]','10:00-15:00','Schoonmaak'
6,'Woensdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
8,'Vrijdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
9,'Zaterdag','Vooravond van zondag.','17.30','Vigilie'
10,'Zondag','De 5e zondag na Pasen. De martelares Fotinija(Svetlana) de Samaritaanse. 4e toon.','10:30[br]14:00','Liturgie[br]Doop'
11,'Maandag','[i:Schoonmaakbeurt v.d.kerk. Iedereen is welkom. Gezamenlijke maaltijd en spreekuur m.d. priester (v.Anatoli).]','10:00-15:00','Schoonmaak'
13,'Woensdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
15,'Vrijdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
16,'Zaterdag','Vooravond van zondag.','17:30','Vigilie'
17,'Zondag','De 6e zondag na Pasen. De genezing van de blinde. 5e toon.','10:30','Liturgie'
18,'Maandag','[i:Schoonmaakbeurt v.d.kerk. Iedereen is welkom. Gezamenlijke maaltijd en spreekuur m.d. priester (v.Anatoli).]','10:30-15:00','Schoonmaak'
20,'Woensdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
'[b,red:21]','[b,red:Donderdag]','[b,red:Hemelvaart.]','[b,red:10:30]','[b,red:Liturgie]'
22,'Vrijdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
23,'Zaterdag','Vooravond van zondag.','17:30','Vigilie'
24,'Zondag','De 7e zondag na Pasen.','10:30','Liturgie'
25,'Maandag','[i:Schoonmaakbeurt v.d.kerk. Iedereen is welkom. Gezamenlijke maaltijd en spreekuur m.d. priester (v.Anatoli).]','10:00-15:00','Schoonmaak'
27,'Woensdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
29,'Vrijdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
'[b,green:30]','[b,green:Zaterdag]','[b,green:Pinksteren dodenherdenking.][br][b,green:Vooravond van zondag.]','[b,green:14:00][br][b,green:17:30]','[b,green:Panichida][br][b,green:Vigilie]'
'[b,green:31]','[b,green:Zondag]','[b,green:Pinksteren.]','[b,green:10:30]','[b,green:Liturgie]'
